;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1;3;;;1;;;;1;1;1;3+4;3+4;2+4;3+4;3+4;2+4;3+4;3+4;2+4;;3;2;1;;;;;;;3;
2;;2;;1;;;;1;1;1;2+4;2+4;1+4;2+4;2+4;1+4;2+4;2+4;1+4;;2;2;1;;;;;;;2;
3;;;1;1;;;;1;1;1;1+4;1+4;1+4;1+4;1+4;1+4;1+4;1+4;1+4;;1;1;1;;;;;;;1;
4;;;;;;;;1;1;1;3+4;2+4;1+4;1+4;1+4;1+4;1+4;1+4;1+4;;1;1;1;;;;;;;;
5;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
7;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
8;;;;;;;;3;;;3+4;3+4;2+4;3+4;3+4;2+4;3+4;3+4;2+4;;1;1;1;;;;;;;;
9;;;;;;;;;2;;2+4;2+4;1+4;2+4;2+4;1+4;2+4;2+4;1+4;;1;1;1;;;;;;;;
10;;;;;;;;;;1;1+4;1+4;1+4;1+4;1+4;1+4;1+4;1+4;1+4;;1;1;1;;;;;;;;
11;;;;;;;;;;;4;;;4;4;4+5;4;4;4+5;;3+4;2+4;2+4;3;2;2;;;;4+3;
12;;;;;;;;;;;;4;;4;4;4+5;4;4;4+5;;3+4;2+4;2+4;3;2;2;;;;4,3;
13;;;;;;;;;;;;;4;4+5;4+5;4+5;4+5;4+5;4+5;;3+4;2+4;2+4;3;2;2;;;;4+3;
14;;;;;;;;;;;;;;3;;;;;;;3+4;2+4;2+4;3+4;2+4;2+4;;;;4+3;
15;;;;;;;;;;;;;;;2;;;;;;3+4;2+4;2+4;3+4;2+4;2+4;;;;4+3;
16;;;;;;;;;;;;;;;;1;;;;;3+4;2+4;2+4;1+4;1+4;1+4;;;;4+3;
17;;;;;;;;;;;;;;;;;4;;;;3+4;2+4;2+4;3;2;2;;;;3;
18;;;;;;;;;;;;;;;;;;4;;;3+4;2+4;2+4;3;2;2;;;;3;
19;;;;;;;;;;;;;;;;;;;4+5;;3+4;2+4;2+4;3;2;2;;;;3;
20;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;3;
22;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;
23;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2;
24;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;3
25;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;3
26;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3
27;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;
28;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;
31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
