dv;1;2;3;4;5;6;7
0;0,00000000000000;;;;;;
1;1,17879006073519;;;;;;
2;2,41164947384929;;;;;;
3;3,48616305557027;;;;;;
4;4,41407003231446;;;;;;
5;5,50317640512438;;;;;;
6;6,50244212533771;;;;;;
7;7,43034910208190;;;;;;
8;8,35825607882609;;;;;;
9;9,28616305557027;;;;;;
10;10,30000031918320;;;;;;
11;11,37453514859350;;;;;;
12;12,30244212533770;;;;;;
13;13,23034910208190;;;;;;
14;14,30560517672650;9,69982661085940;;;;;
15;15,31872119510520;10,41345101906560;;;;;
16;16,24662817184940;11,12707542727180;;;;;
17;17,17453514859360;11,84069983547800;;;;;
18;18,10244212533770;12,55432424368420;;;;;
19;19,14913623697860;13,26794865189040;;;;;
20;20,19081421836100;14,05461026305200;9,26058166022138;;;;
21;21,14638304055490;14,86441020506420;10,18848863696560;;;;
22;22,23273076517570;15,67421014707640;10,91338813226850;;;;
23;23,34156967929540;16,48401008908860;11,62373173205480;;;;
24;24,36755840440750;17,21871162481130;12,33407533184120;;;;
25;25,34437210806690;17,93707582234220;13,06540085946310;;;;
26;26,45046371938050;18,65544001987300;13,80463198498420;9,56719817767654;;;
27;27,22103150617080;19,37380421740390;14,53631852215630;10,05104236015790;;;
28;28,29190937958100;20,12974231828980;15,24666212194270;10,79027348567890;;;
29;29,47220956719820;20,94647266763480;15,95700572172910;11,52696399087930;9,56719817767654;;
30;30,40011654394240;21,76320301697980;16,66819104561720;12,25277844432730;9,84161384712879;;
31;31,32802352068660;22,57993336632480;17,39400549906520;12,97859289777530;10,53392153943650;;
32;32,25593049743080;23,38128784417830;18,11981995251320;13,70440735122330;11,20645962497500;;
33;33,30887467695990;24,12051896969940;18,84563440596120;14,45270661858830;11,85194148307530;;
34;34,34430259045390;24,85975009522040;19,57952777006990;15,20902506846190;12,49742334117550;;
35;35,27220956719820;25,65072507894070;20,31875889559090;15,96364970600680;13,21228158365910;;
36;36,20011654394240;26,46052502095290;21,05799002111200;16,65595739831450;13,93064578119000;;
37;37,12802352068650;27,27032496296510;21,79722114663310;17,35071813598010;14,54434686168910;;
38;38,05593049743080;28,08012490497730;22,59317431673430;18,08994926150110;15,11977230155070;;
39;39,08843749122350;28,84092785530760;23,39512236868240;18,82918038702220;15,72448054487330;;
40;40,14430259045400;29,58910786854390;24,19707042063040;19,52121881422590;16,33879925157080;;
